book_name,author,narrator,duration,release_date,language,stars,price,ratings
Travels with a Donkey in the Cevennes,Robert Louis Stevenson,Denis Lawson,171,2008-05-13,English,,569.0,
A to Z of Hell,Ross Kemp,Mark Meadows,316,2015-04-09,English,,615.0,
Grand Canyon Tour,Waypoint Tours,"Janet Ault,Mark Andrews",76,2006-03-09,English,,333.0,
Letters from Hawaii,Mark Twain,Robin Field,618,2015-06-16,English,,820.0,
Gates of the Arctic,Jon Krakauer,Scott Brick,30,2018-02-27,English,,50.0,
Loving Them to Death,Jon Krakauer,Scott Brick,82,2018-02-27,English,,50.0,
I Cry,Katie Marsico,Adam Weber,6,2019-11-20,English,,63.0,
Yoga Music,Yella A.Deeken,Ian Brannan,512,2019-02-15,English,,367.0,
Gut,Theo Gaius,Lexi Mae,223,2021-03-25,English,,234.0,
Tell Tale,Jeffrey Archer,Robert Bathurst,301,2017-11-02,English,4.5,323.0,23.0
I Want a Dog,Darcy Pattison,Josiah Bildner,8,2021-07-22,English,,117.0,
Gray Squirrels,G.G.Lake,anonymous,3,2022-03-02,English,,82.0,
Shih Tzus,Allan Morey,anonymous,2,2022-02-25,English,,82.0,
Cricket for the Crocodile,Ruskin Bond,Ruskin Bond,26,2020-08-19,English,3.0,200.0,3.0
P'tit Loup part en voyage,Orianne Lallemand,Will Production,3,2021-07-28,french,,74.0,
La musique,Stéphanie Ledu,NicolasÉon,14,2022-02-16,french,,265.0,
Opera,i Minds,Todd Mac Donald,5,2009-12-08,English,,27.0,
The First Music,Dylan Pritchett,Dylan Pritchett,4,2008-04-29,English,,397.0,
Bach,Darren Henley,Aled Jones,21,2013-12-02,English,,32.0,
Haydn,Darren Henley,Marin Alsop,24,2013-12-02,English,,32.0,
Le Petit Sapin,Sara Cone Bryant,Olivier Lecerf,4,2021-09-03,french,,74.0,
Dwarf Long-Nose,Wilhelm Hauff,Jürgen Fritsche,66,2021-03-26,English,,200.0,
Das alte Ägypten,Wolfgang Korn,Wolfgang Korn,80,2018-10-26,german,,200.0,
A Short History of Christmas,Sally Lee,anonymous,2,2022-03-15,English,,82.0,
Alice's Stories,Tim Kennemore,Nerys Hughes,190,2008-07-24,English,,349.0,
Pea's Book of Birthdays,Susie Day,Claire Morgan,285,2013-10-11,English,,395.0,
Peppa Pig: Storytime with Peppa,Ladybird,John Sparkes,65,2022-02-03,English,,410.0,
Second Chance,Tim La Haye,Scott Shina,176,2013-01-30,English,,351.0,
Crawlers,Sam Enthoven,Joe Coen,346,2011-05-20,English,,748.0,
Ghana,Lyn Larson,Intuitive,18,2017-06-23,English,,164.0,
